ASSET,METRIC,REAL_VAL,REAL_Z,PRICE_Z,GAP,STATUS
TRADFIIBDX,N/A,0.0,0.0,-2.48,0.0,💸 PURE_SPECULATION
TRADFIIEF,N/A,0.0,0.0,-2.07,0.0,💸 PURE_SPECULATION
TRADFISB,N/A,0.0,0.0,-1.9,0.0,💸 PURE_SPECULATION
TRADFIADT,N/A,0.0,0.0,-1.63,0.0,💸 PURE_SPECULATION
TRADFIAVUV,N/A,0.0,0.0,0.16,0.0,💸 PURE_SPECULATION
TRADFIFRDM,N/A,0.0,0.0,2.43,0.0,💸 PURE_SPECULATION
TRADFITPL,N/A,0.0,0.0,-2.32,0.0,💸 PURE_SPECULATION
TRADFIGDYN,N/A,0.0,0.0,1.68,0.0,💸 PURE_SPECULATION
TRADFISER,N/A,0.0,0.0,0.79,0.0,💸 PURE_SPECULATION
TRADFIIPAY,N/A,0.0,0.0,-1.54,0.0,💸 PURE_SPECULATION
TRADFINAVI,N/A,0.0,0.0,2.1,0.0,💸 PURE_SPECULATION
TRADFIDARE,N/A,0.0,0.0,1.87,0.0,💸 PURE_SPECULATION
TRADFIHEEM,N/A,0.0,0.0,0.23,0.0,💸 PURE_SPECULATION
TRADFIKIMPL,N/A,0.0,0.0,0.35,0.0,💸 PURE_SPECULATION
TRADFIMOG.A,N/A,0.0,0.0,-2.13,0.0,💸 PURE_SPECULATION
TRADFIZKH,N/A,0.0,0.0,1.02,0.0,💸 PURE_SPECULATION
TRADFIXOVR,N/A,0.0,0.0,-0.9,0.0,💸 PURE_SPECULATION
TRADFIDLO,N/A,0.0,0.0,2.32,0.0,💸 PURE_SPECULATION
CONFLUXTOKEN,N/A,0.0,0.0,2.07,0.0,💸 PURE_SPECULATION
TRADFIFESM,N/A,0.0,0.0,2.08,0.0,💸 PURE_SPECULATION
TRADFICOFPK,N/A,0.0,0.0,2.31,0.0,💸 PURE_SPECULATION
TRADFISTN,N/A,0.0,0.0,-1.59,0.0,💸 PURE_SPECULATION
TRADFITMUSI,N/A,0.0,0.0,2.75,0.0,💸 PURE_SPECULATION
TRADFIPYLD,N/A,0.0,0.0,-2.22,0.0,💸 PURE_SPECULATION
TRADFIRAY,N/A,0.0,0.0,-0.56,0.0,💸 PURE_SPECULATION
TRADFIFACT,N/A,0.0,0.0,-0.76,0.0,💸 PURE_SPECULATION
TRADFIILLR,N/A,0.0,0.0,1.86,0.0,💸 PURE_SPECULATION
TRADFITWOPC,N/A,0.0,0.0,-3.01,0.0,💸 PURE_SPECULATION
STARKNET,N/A,0.0,0.0,1.59,0.0,💸 PURE_SPECULATION
TRADFIEVEX.WS,N/A,0.0,0.0,-0.14,0.0,💸 PURE_SPECULATION
TRADFISH,N/A,0.0,0.0,1.77,0.0,💸 PURE_SPECULATION
TRADFIBAH,N/A,0.0,0.0,0.95,0.0,💸 PURE_SPECULATION
TRADFIJGLO,N/A,0.0,0.0,-2.03,0.0,💸 PURE_SPECULATION
TRADFIV,N/A,0.0,0.0,-1.39,0.0,💸 PURE_SPECULATION
TRADFIAFIF,N/A,0.0,0.0,-0.7,0.0,💸 PURE_SPECULATION
TRADFIGENT,N/A,0.0,0.0,-3.16,0.0,💸 PURE_SPECULATION
TRADFIFFOX,N/A,0.0,0.0,-0.2,0.0,💸 PURE_SPECULATION
TRADFIHVMC,N/A,0.0,0.0,3.05,0.0,💸 PURE_SPECULATION
TRADFIXRPC,N/A,0.0,0.0,1.72,0.0,💸 PURE_SPECULATION
TRADFIAVY,N/A,0.0,0.0,-2.05,0.0,💸 PURE_SPECULATION
TRADFIMIST,N/A,0.0,0.0,-1.73,0.0,💸 PURE_SPECULATION
TRADFIMLAB,N/A,0.0,0.0,0.6,0.0,💸 PURE_SPECULATION
TRADFIUDR,N/A,0.0,0.0,-1.45,0.0,💸 PURE_SPECULATION
TRADFIBUXX,N/A,0.0,0.0,-0.49,0.0,💸 PURE_SPECULATION
TRADFIAGG,N/A,0.0,0.0,-2.05,0.0,💸 PURE_SPECULATION
TRADFIAPEI,N/A,0.0,0.0,2.44,0.0,💸 PURE_SPECULATION
TRADFIGAUZ,N/A,0.0,0.0,-2.25,0.0,💸 PURE_SPECULATION
TRADFIEPU,N/A,0.0,0.0,2.06,0.0,💸 PURE_SPECULATION
TRADFIASIC,N/A,0.0,0.0,2.76,0.0,💸 PURE_SPECULATION
TRADFIEWZ,N/A,0.0,0.0,0.8,0.0,💸 PURE_SPECULATION
TRADFIKTUP,N/A,0.0,0.0,0.57,0.0,💸 PURE_SPECULATION
TRADFILODE,N/A,0.0,0.0,-0.53,0.0,💸 PURE_SPECULATION
TRADFIMTBA,N/A,0.0,0.0,-1.85,0.0,💸 PURE_SPECULATION
TRADFIOCSL,N/A,0.0,0.0,2.8,0.0,💸 PURE_SPECULATION
TRADFIRCKT,N/A,0.0,0.0,-0.08,0.0,💸 PURE_SPECULATION
TRADFIXTOC,N/A,0.0,0.0,-0.27,0.0,💸 PURE_SPECULATION
TRADFIRGTZ,N/A,0.0,0.0,-1.04,0.0,💸 PURE_SPECULATION
TRADFILQTI,N/A,0.0,0.0,-0.81,0.0,💸 PURE_SPECULATION
TRADFIEL,N/A,0.0,0.0,-1.67,0.0,💸 PURE_SPECULATION
TRADFIMFA,N/A,0.0,0.0,-1.57,0.0,💸 PURE_SPECULATION
TRADFISOTK,N/A,0.0,0.0,0.24,0.0,💸 PURE_SPECULATION
TRADFIIYW,N/A,0.0,0.0,1.76,0.0,💸 PURE_SPECULATION
TRADFIPBIPB,N/A,0.0,0.0,0.71,0.0,💸 PURE_SPECULATION
TRADFIURI,N/A,0.0,0.0,-0.94,0.0,💸 PURE_SPECULATION
TRADFIBLSH,N/A,0.0,0.0,-0.76,0.0,💸 PURE_SPECULATION
TRADFICOGT,N/A,0.0,0.0,-0.87,0.0,💸 PURE_SPECULATION
TRADFIALISU,N/A,0.0,0.0,-0.83,0.0,💸 PURE_SPECULATION
TRADFITMFM,N/A,0.0,0.0,-0.76,0.0,💸 PURE_SPECULATION
TRADFIAAPB,N/A,0.0,0.0,-2.24,0.0,💸 PURE_SPECULATION
TRADFIQDEF,N/A,0.0,0.0,0.41,0.0,💸 PURE_SPECULATION
TRADFIFTNY,N/A,0.0,0.0,0.08,0.0,💸 PURE_SPECULATION
TRADFIVGSH,N/A,0.0,0.0,-2.18,0.0,💸 PURE_SPECULATION
TRADFISHAK,N/A,0.0,0.0,1.55,0.0,💸 PURE_SPECULATION
TRADFIEWTX,N/A,0.0,0.0,-2.23,0.0,💸 PURE_SPECULATION
TRADFIVACI.U,N/A,0.0,0.0,0.76,0.0,💸 PURE_SPECULATION
TRADFIKTOS,N/A,0.0,0.0,0.77,0.0,💸 PURE_SPECULATION
TRADFIBAI,N/A,0.0,0.0,2.06,0.0,💸 PURE_SPECULATION
TRADFIVLUE,N/A,0.0,0.0,1.01,0.0,💸 PURE_SPECULATION
TRADFIBSVO,N/A,0.0,0.0,2.11,0.0,💸 PURE_SPECULATION
C8NTINUUM,N/A,0.0,0.0,2.05,0.0,💸 PURE_SPECULATION
TRADFILABD,N/A,0.0,0.0,3.14,0.0,💸 PURE_SPECULATION
TRADFICAPE,N/A,0.0,0.0,-1.58,0.0,💸 PURE_SPECULATION
DAI,N/A,0.0,0.0,1.65,0.0,💸 PURE_SPECULATION
TRADFIVOLT,N/A,0.0,0.0,-2.85,0.0,💸 PURE_SPECULATION
TRADFIAWI,N/A,0.0,0.0,-2.92,0.0,💸 PURE_SPECULATION
TRADFIERY,N/A,0.0,0.0,0.61,0.0,💸 PURE_SPECULATION
TRADFIHGBL,N/A,0.0,0.0,2.04,0.0,💸 PURE_SPECULATION
TRADFIUBXG,N/A,0.0,0.0,-0.27,0.0,💸 PURE_SPECULATION
TRADFIOSUR,N/A,0.0,0.0,-0.99,0.0,💸 PURE_SPECULATION
TRADFISARK,N/A,0.0,0.0,-2.14,0.0,💸 PURE_SPECULATION
TRADFILBRX,N/A,0.0,0.0,1.19,0.0,💸 PURE_SPECULATION
TRADFIAGEN,N/A,0.0,0.0,-0.83,0.0,💸 PURE_SPECULATION
TRADFIWTMF,N/A,0.0,0.0,1.69,0.0,💸 PURE_SPECULATION
TRADFIEKSO,N/A,0.0,0.0,2.75,0.0,💸 PURE_SPECULATION
TRADFIAIYY,N/A,0.0,0.0,1.75,0.0,💸 PURE_SPECULATION
TRADFINAT,N/A,0.0,0.0,-1.72,0.0,💸 PURE_SPECULATION
TRADFICSEX,N/A,0.0,0.0,1.44,0.0,💸 PURE_SPECULATION
TRADFIVEEV,N/A,0.0,0.0,-2.43,0.0,💸 PURE_SPECULATION
TRADFIIBMP,N/A,0.0,0.0,-0.6,0.0,💸 PURE_SPECULATION
TRADFIMMIN,N/A,0.0,0.0,-1.81,0.0,💸 PURE_SPECULATION
TRADFIUSCB,N/A,0.0,0.0,1.83,0.0,💸 PURE_SPECULATION
TRADFIGRBK,N/A,0.0,0.0,-1.83,0.0,💸 PURE_SPECULATION
TRADFINFGC,N/A,0.0,0.0,-1.14,0.0,💸 PURE_SPECULATION
TRADFIMNSO,N/A,0.0,0.0,0.93,0.0,💸 PURE_SPECULATION
TRADFITOVX,N/A,0.0,0.0,-0.45,0.0,💸 PURE_SPECULATION
TRADFIMODL,N/A,0.0,0.0,-1.69,0.0,💸 PURE_SPECULATION
TRADFIBUYW,N/A,0.0,0.0,-1.18,0.0,💸 PURE_SPECULATION
TRADFIVTGN,N/A,0.0,0.0,2.44,0.0,💸 PURE_SPECULATION
TRADFILSAK,N/A,0.0,0.0,2.07,0.0,💸 PURE_SPECULATION
TRADFIPATK,N/A,0.0,0.0,2.64,0.0,💸 PURE_SPECULATION
TRADFICAAS,N/A,0.0,0.0,1.6,0.0,💸 PURE_SPECULATION
TRADFIBITK,N/A,0.0,0.0,0.2,0.0,💸 PURE_SPECULATION
TRADFIVRDN,N/A,0.0,0.0,-2.22,0.0,💸 PURE_SPECULATION
TRADFIOILD,N/A,0.0,0.0,1.01,0.0,💸 PURE_SPECULATION
TRADFIGHC,N/A,0.0,0.0,-0.41,0.0,💸 PURE_SPECULATION
TRADFIITDD,N/A,0.0,0.0,-1.28,0.0,💸 PURE_SPECULATION
TRADFISPDW,N/A,0.0,0.0,-1.85,0.0,💸 PURE_SPECULATION
TRADFIARKG,N/A,0.0,0.0,-1.18,0.0,💸 PURE_SPECULATION
TRADFIXYF,N/A,0.0,0.0,0.24,0.0,💸 PURE_SPECULATION
TRADFIAGIO,N/A,0.0,0.0,-2.52,0.0,💸 PURE_SPECULATION
TRADFIGLIBK,N/A,0.0,0.0,1.92,0.0,💸 PURE_SPECULATION
TRADFIORLY,N/A,0.0,0.0,-2.69,0.0,💸 PURE_SPECULATION
TRADFITBG,N/A,0.0,0.0,-2.06,0.0,💸 PURE_SPECULATION
